 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
"In June, the government had compulsorily retired 15 commissioner-level officials of CBIC on charges of corruption, collecting and giving bribes, smuggling and even criminal conspiracy. Prior to that, the government had compulsorily retired 12 senior IRS officials from the Income Tax department over charges of corruption, sexual harassment, disproportionate assets under Rule 56 (J) of the Central Civil Services (Pension) Rules.","V červnu vláda donutila odejít do důchodu 15 úředníků na postech komisařů CBIC kvůli obvinění z korupce, shromažďování a poskytování úplatků, pašování a dokonce i trestného činu spiknutí. Ještě předtím vláda poslala do důchodu 12 vysokých úředníků IRS z oddělení daní z příjmu rovněž kvůli obviněním z korupce, sexuálního obtěžování a nepřiměřeného hromadění majetku podle paragrafu 56 (j) Směrnice o ústředních státních službách (důchodech).","V červnu vláda poslala povinně do důchodu 15 činitelů na úrovni zastupitelů CBIC za obvinění z korupce, braní a dávání úplatků, pašování, a dokonce zločinného spolčení. Předtím vláda poslala povinně do důchodu 12 vysoce postavených činitelů IRS z oddělení daní z příjmů kvůli obvinění u korupce, sexuálního obtěžování, nepřiměřeného majetku podle pravidla 56 (J) pravidel o ústředních státních službách (o penzi).","V červu vláda odvolala 15 úředníku na úrovni komisaře UKNDC kvůli obvinění z korupce, přijímání a dávání úplatků, pašování a dokonce zločinného spiknutí. Již dříve vláda odvolala 12 vysoce postavených IRS úředníků z interního daňového úřadu z důvodu obvinění z korupce,  sexuálního obtěžování, neúměrného majetku dle Pravidla 56 (J) ústředních státních služeb (Důchodová) pravidla.","V červnu vláda donutila odejít do důchodu 15 úředníků na postech komisařů CBIC kvůli obvinění z korupce, přijímání a poskytování úplatků, pašování, či dokonce zločinného spiknutí. Ještě předtím vláda poslala do důchodu 12 vysokých úředníků finanční správy pracujících v odboru daní z příjmu, obviněných z korupce, sexuálního obtěžování a nepřiměřeného hromadění majetku podle paragrafu 56 (j) zákona o ústřední státní správě (a podmínkách odchodu do důchodu jejích zaměstnanců).",,kvůli srozumitelnosti je u názvu předpisu nutná vyšší míra explicitace,
"In August, the government compulsorily retired 22 CBIC officials. The Rule 56 (J) of Central Civil Services (Pension) Rules, 1972 provides for periodical review of the performance of government servants with a view to ascertain whether they should be retained in service or retired in public interest.","V srpnu vláda poslala do důchodu 22 úředníků CBIC. Paragraf 56 (j) Směrnice o ústředních státních službách (důchodech) z roku 1972 stanovuje pravidelná přezkoumání výkonu státních zaměstnanců s cílem zjistit, zda mohou být ponecháni ve službě nebo propuštěni ve veřejném zájmu.","V srpnu vláda poslala povinně do důchodu 22 úředníků CBIC. Pravidlo 56 (J) pravidel o ústředních státních službách (o penzi) z roku 1972 stanovuje periodickou kontrolu výkonnosti vládních úředníků za účelem zjištění, zda by měli zůstat ve službě, nebo být odvoláni ve veřejném zájmu. ","V srpnu vláda odvolala 22 UKNDC úředníků. Pravidlo 56 (J) ústředních státních služeb  (Důchodová) pravidla umožňuje revizi výkonu vládních úředníků s ohledem na to,  jestli by měli být ponecháni ve službě nebo odvoláni v prospěch veřejnosti.","V srpnu vláda poslala do důchodu 22 úředníků CBIC. Paragraf 56 (j) Zákona o ústřední státní správě (a podmínkách odchodu do důchodu jejích zaměstnanců) z roku 1972 nařizuje práci státních zaměstnanců pravidelně přezkoumávat s cílem zjistit, zda mohou zůstat ve službě, nebo mají být ve veřejném zájmu propuštěni.",,,
"As per these instructions, the cases of government servants covered by FR 56 (J), 56 (1) or Rule 48 (1) (b) of CCS (Pension) Rules, 1972 should be reviewed six months before they attain the age of 50-55 years, in cases covered by FR 56 (j) and on completion of 30 years of qualifying service under FR 56 (1) or Rule 48 of CCS (Pension) Rules, 1972.","Podle těchto pokynů by případy státních zaměstnanců, na něž se vztahují paragrafy FR 56 (j), 56 (1) nebo Směrnice 48 (1) (b) o CCS penzijním připojištění z roku 1972, měly být přezkoumány šest měsíců před dosažením věku 50–55 let v případech, na které se vztahuje paragraf FR 56 (j), a po dokončení 30 let kvalifikační služby paragraf FR 56 (1) nebo Směrnice 48 o CCS penzijním připojištění z roku 1972.","Podle těchto pokynů by případy vládních úředníků, kterých se týkají pravidla FR 56 (J), 56 (1) nebo pravidlo 48 (1) (b) CCS (pravidla o penzi) z roku 1972 by měly být revidovány šest měsíců předtím, než úředníci dosáhnou věku 50-55 let, v případě, na který se vztahuje pravidlo Fr 56 (j) a pravidlo o dokončení 30 let kvalifikační služby podle pravidla FR 56 (1) nebo pravidla 48 CCS (o penzi) z roku 1972.","Případy vládních úředníků na než se vztahují podle FR 56 (J), 56 (1) nebo Pravidlo 48 (1) (b) CCD (Důchodová) Pravidla, 1972 by dle těchto instrukcí měli  být přezkoumáni šest měsíců předtím, než dosáhnou 50-55 let, v případech,  na něž se vztahuje podle FR 56 (j) a při dokonání 30ti leté kvalifikační služby  podle FR 56 (1) nebo Pravidla 48 CCS (Důchodová) Pravidla, 1972.","Podle těchto předpisů by případy státních zaměstnanců, na něž se vztahují paragrafy 56 (j), 56 (1) nebo 48 (1) (b) Zákona o ústřední státní správě (a podmínkách odchodu do důchodu jejích zaměstnanců) z roku 1972, měly být přezkoumány šest měsíců předtím, než dotyčný úředník dovrší věk 50–55 let v případech, na které se vztahuje paragraf 56 (j), a po dovršení 30 let služby podle paragrafu 56 (1) nebo 48 Zákona o ústřední státní správě (a podmínkách odchodu do důchodu jejích zaměstnanců) z roku 1972.",,,
,,,,,,,
,,,,,,,
independent.281139,,,,,,,
"Michael Jackson wore tape on his nose to get front pages, former bodyguard claims","Michael Jackson nosil lepicí pásku na nose, aby získal pozornost, tvrdí jeho bývalý bodyguard","Michael Jackson nosil pásku na nose, aby se dostal na titulní stránky, tvrdí bývalý bodyguard.","Michael Jackson nosil přes nos pásku, aby se dostal na přední stranu novin,  tvrdí jeho bývalý bodyguard.","Michael Jackson nosil na nose pásku, aby si získal pozornost, tvrdí jeho bývalý bodyguard",,"get front pages nutně neznamená přední stránky, ale pozornost obecně: proto v titulku nechávám jen obecně, ale jelikož u MJ šlo hlavně o média, níže už explicituji média;
P2 a P3 tečka v titulku",
Michael Jackson's former bodyguard has claimed the late singer cultivated some of his eccentricities with the deliberate intention of riling up the media.,"Bývalý osobní strážce Michaela Jacksona tvrdí, že zesnulý zpěvák provozoval některé ze svých výstředností za účelem získání pozornosti médií.","Bývalý bodyguard Michaela Jacksona prohlásil, že zesnulý zpěvák pěstoval některé ze svých výstředností s úmyslem dráždit média.","Bývalý bodyguard Michaela Jacksona tvrdí, že zesnulý zpěvák kultivoval  některá z jeho ekcentrik s úmyslem popudit média.","Bývalý osobní strážce Michaela Jacksona tvrdí, že zesnulý zpěvák provozoval některé ze svých výstředností proto, aby přitáhl pozornost médií.",,,
"Matt Fiddes, now a property developer and owner of a martial arts/dance chain, told Metro that Jackson believed the fascination around his persona would stop if he ceased to be a ""mystery"" in the public eye.","Matt Fiddes, nyní developer a majitel školy bojového a tanečního umění, řekl novinám Metro, že Jackson věřil, že fascinace jeho osobností by skončila, kdyby přestal být v očích veřejnosti „tajemný“.","Matt Fiddes, dnes developer a majitel řetězce bojových umění/tanců, řekl deníku Metro, že Jackson věřil, že by fascinace kolem jeho osoby přestala, kdyby přestal být v očích veřejnosti ""záhadou"".","Matt Fiddes, nyní realitní developer a vlastník řetězce bojových sportů/tance,  sdělil Metru, že Jackson věřil, že fascinace jeho osobou by uvadla,  kdyby přestal být “záhadou” v očích veřejnosti.","Matt Fiddes, který se dnes živí jako developer a majitel školy tance a bojového umění, deníku Metro sdělil, že Jackson se domníval, že pokud by už nebyl v očích veřejnosti „tajemný“, svět by přestal být jeho osobností fascinován.","Matt Fiddes, který dnes působí jako developer a vlastní školu tance a bojových umění, americkému deníku Metro sdělil, že Jackson se domníval, že by jeho osobnost přestala veřejnost fascinovat, kdyby v jejích očích nebyl „tajemný“.",přístavek převeden na větu (zpravodajská čeština méně nominální než AJ),
"To get front pages, he would reportedly don surgical masks and put tape on his nose to spark conversation.","Za účelem získání pozornosti si údajně nasadil chirurgickou masku a na nos si nalepil pásku, aby vyvolal veřejnou diskuzi.","Aby se dostal na titulní stránky, prý nosil chirurgické roušky a dával si pásku na nos, aby podnítil konverzaci.","Aby se dostal na přední stranu novin, nosil údajně chirurgické masky  a dával si pásku přes nos, aby o něm podnítil konverzaci.","Zpěvák si pozornost médií údajně získával tím, že si nasazoval roušku nebo na nos dával lepicí pásku. Chtěl tak docílit toho, aby se o něm mluvilo.",,rouška v tomto žánru přirozenější než chirugická maska,
We'll tell you what's true. You can form your own view.,"Řekneme vám, co je pravda. Můžete si vytvořit svůj vlastní názor.","Řekneme vám, co je pravda. Můžete si udělat vlastní názor.",Řekneme vám pravdu. Názor si můžete utvořit sami.,"Řekneme vám, co je pravda. Názor si uděláte sami.",,REKLAMA,
"""He knew how to manipulate the media. He knew exactly how to get the front page,"" Fiddes, who was Jackson's bodyguard for 10 years, said. ""90 per cent of the time it worked, by putting a mask on his face, or sticky tape on his hands - or tape on his nose was a favourite one. He would say he wanted his life to be the greatest mystery on Earth.""","„Věděl, jak manipulovat s médii. Věděl přesně, jak se dostat na titulní stránky,“ řekl Fiddes, který byl Jacksonovým bodyguardem po dobu 10 let. „Z 90% to fungovalo, když si nasadil masku na obličej nebo nalepil pásku na ruce – nebo páska na nose byla oblíbená. Řekl, že chce, aby byl jeho život největším mystériem na Zeměkouli.“","""Věděl, jak manipulovat s médii. Věděl přesně, jak se dostat na titulní stránku,"" řekl Fiddes, který byl 10 let Jacksonovým bodyguardem. V 90 procentech případů to fungovalo, když si dal roušku na obličej nebo lepicí pásku na ruce - nebo pásku na nos, ta byla jeho oblíbená. Údajně řekl, že chce, aby jeho život byl největší záhadou na světě.","“Věděl, jak manipulovat s médii. Věděl jak se dostat na přední stranu novin,“  řekl Fiddes, který byl Jacksonovým bodyguardem 10 let. “90 procent času to  fungovalo tím, že si na obličej dal masku nebo pásku přes obličej nebo  ruce - nebo svou oblíbenou pásku přes nos. Říkával, že chce, aby jeho život  byl jedna z největších záhad na Zemi.”","„Věděl, jak manipulovat s médii. Věděl přesně, jak se dostat na titulní stránky,“ řekl Fiddes, který byl Jacksonovým bodyguardem deset let. „Z devadesáti procent zabíralo, když si třeba na obličej nasadil roušku nebo na ruce nalepil pásku. Anebo páska na nose – ta byla jeho oblíbená. Říkával, že chce, aby byl jeho život největším mystériem na zeměkouli.“","„Věděl, jak manipulovat s médii. Věděl přesně, jak se dostat na titulní stránky,“ prohlásil Fiddes, který Jacksonovi dělal bodyguarda po dobu 10 let. „V 90 procentech případů fungovalo, třeba když si nasadil na obličej roušku nebo polepil ruce lepicí páskou – nebo si polepil nos, to taky zabíralo. Tvrdil, že chce, aby byl jeho život největší záhadou na Zemi.“",,
"He added: ""It's backfired on him now, though, that's the sad thing.""","Dodal: „Teď se na něj útočí, to je smutné.“","Fiddes dodal: ""Teď se to ale obrací proti němu, to je na tom smutné.""","Dodal: “Teď se to bohužel obrátilo proti němu, to je na tom to smutné.”","„Teď se to ale obrací proti němu, to je na tom to smutné,“ posteskl si Fiddes.","Fiddes dodal: „Teď se to ale obrací proti němu, což je smutné.“","N1 verbum dicendi podle českého úzu až za citací, proto pak v následujícím úseku nutně perifráze. N2 syntax podle angličtiny.",
